Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""), 65)",Chrome 119.0.0.0,,,2023-11-27 13:27:37,2023-11-27 13:28:30,52.630s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 119.0.0.0,,,2023-11-27 13:28:30,2023-11-27 13:28:30,0.075s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 119.0.0.0,,,2023-11-27 13:28:30,2023-11-27 13:28:30,0.418s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:28:30,2023-11-27 13:28:30,0.034s,PASSED
"click(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""))",Chrome 119.0.0.0,,,2023-11-27 13:28:30,2023-11-27 13:28:32,2.117s,PASSED
delay(45),Chrome 119.0.0.0,,,2023-11-27 13:28:32,2023-11-27 13:29:17,45.010s,PASSED
"Education = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 13:29:17,2023-11-27 13:29:17,0.038s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EDUCATION"", Education, EducationNew)",Chrome 119.0.0.0,,,2023-11-27 13:29:17,2023-11-27 13:29:17,0.001s,PASSED
"Hobbies = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Hobbies""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 13:29:17,2023-11-27 13:29:18,0.038s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""HOBBIES"", Hobbies, HobbiesNew)",Chrome 119.0.0.0,,,2023-11-27 13:29:18,2023-11-27 13:29:18,0.000s,PASSED
"Expectations = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_expectation""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 13:29:18,2023-11-27 13:29:18,0.037s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EXPECTATIONS"", Expectations, ExpectationsNew)",Chrome 119.0.0.0,,,2023-11-27 13:29:18,2023-11-27 13:29:18,0.001s,PASSED
"Others = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Health""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 13:29:18,2023-11-27 13:29:18,0.032s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""OTHERS"", Others, OtherNew)",Chrome 119.0.0.0,,,2023-11-27 13:29:18,2023-11-27 13:29:18,0.001s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Save  Continue""), 65)",Chrome 119.0.0.0,,,2023-11-27 13:29:18,2023-11-27 13:29:18,0.029s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Save  Continue""))",Chrome 119.0.0.0,,,2023-11-27 13:29:18,2023-11-27 13:29:20,2.161s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thankyou_Page/Thankyou_Page_Objects/txt_h1_Thank you""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:29:20,2023-11-27 13:29:20,0.033s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-27 13:29:20,2023-11-27 13:29:22,2.015s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 13:29:22,2023-11-27 13:29:22,0.437s,PASSED
,,,,,,,
Test Cases/Companion_TestCases/TC05_ReRecord_Type,Chrome 119.0.0.0,,,2023-11-27 13:29:22,2023-11-27 13:31:24,2m - 1.802s,PASSED
"callTestCase(findTestCase(""Common_TestCases/Sign_In""), [""email"":Email, ""password"":Password], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-27 13:29:22,2023-11-27 13:29:29,6.833s,PASSED
delay(5),Chrome 119.0.0.0,,,2023-11-27 13:29:29,2023-11-27 13:29:34,5.005s,PASSED
"scrollToElement(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Re-record""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:29:34,2023-11-27 13:29:34,0.056s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Re-record""))",Chrome 119.0.0.0,,,2023-11-27 13:29:34,2023-11-27 13:29:37,2.184s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Proceed_ReRecord""))",Chrome 119.0.0.0,,,2023-11-27 13:29:37,2023-11-27 13:29:39,2.186s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""), 65)",Chrome 119.0.0.0,,,2023-11-27 13:29:39,2023-11-27 13:30:31,52.725s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 119.0.0.0,,,2023-11-27 13:30:31,2023-11-27 13:30:32,0.066s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 119.0.0.0,,,2023-11-27 13:30:32,2023-11-27 13:30:32,0.429s,PASSED
