Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(45),Chrome 119.0.0.0,,,2023-11-27 11:29:12,2023-11-27 11:29:57,45.011s,PASSED
"Education = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 11:29:57,2023-11-27 11:29:57,0.148s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EDUCATION"", Education, EducationNew)",Chrome 119.0.0.0,,,2023-11-27 11:29:57,2023-11-27 11:29:57,0.002s,PASSED
"Hobbies = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Hobbies""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 11:29:57,2023-11-27 11:29:58,0.304s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""HOBBIES"", Hobbies, HobbiesNew)",Chrome 119.0.0.0,,,2023-11-27 11:29:58,2023-11-27 11:29:58,0.001s,PASSED
"Expectations = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_expectation""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 11:29:58,2023-11-27 11:29:58,0.190s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EXPECTATIONS"", Expectations, ExpectationsNew)",Chrome 119.0.0.0,,,2023-11-27 11:29:58,2023-11-27 11:29:58,0.002s,PASSED
"Others = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Health""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 11:29:58,2023-11-27 11:29:58,0.094s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""OTHERS"", Others, OtherNew)",Chrome 119.0.0.0,,,2023-11-27 11:29:58,2023-11-27 11:29:58,0.010s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Save  Continue""), 65)",Chrome 119.0.0.0,,,2023-11-27 11:29:58,2023-11-27 11:29:58,0.050s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Save  Continue""))",Chrome 119.0.0.0,,,2023-11-27 11:29:58,2023-11-27 11:30:00,2.285s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thankyou_Page/Thankyou_Page_Objects/txt_h1_Thank you""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:30:00,2023-11-27 11:30:00,0.054s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-27 11:30:00,2023-11-27 11:30:02,2.016s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 11:30:02,2023-11-27 11:30:03,0.937s,PASSED
,,,,,,,
Test Cases/Senior_TestCases/TC03_ReRecord_Type,Chrome 119.0.0.0,,,2023-11-27 11:32:05,2023-11-27 11:34:05,2m - 0.357s,PASSED
"callTestCase(findTestCase(""Common_TestCases/Sign_In""), [""email"":Email, ""password"":Password], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-27 11:32:05,2023-11-27 11:32:13,7.898s,PASSED
delay(5),Chrome 119.0.0.0,,,2023-11-27 11:32:13,2023-11-27 11:32:18,5.012s,PASSED
"scrollToElement(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Re-record""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:32:18,2023-11-27 11:32:18,0.238s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Re-record""))",Chrome 119.0.0.0,,,2023-11-27 11:32:18,2023-11-27 11:32:19,0.957s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Proceed_ReRecord""))",Chrome 119.0.0.0,,,2023-11-27 11:32:19,2023-11-27 11:32:19,0.254s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""), 65)",Chrome 119.0.0.0,,,2023-11-27 11:32:19,2023-11-27 11:33:12,53.085s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 119.0.0.0,,,2023-11-27 11:33:12,2023-11-27 11:33:12,0.073s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 119.0.0.0,,,2023-11-27 11:33:12,2023-11-27 11:33:13,0.526s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:33:13,2023-11-27 11:33:13,0.047s,PASSED
"click(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""))",Chrome 119.0.0.0,,,2023-11-27 11:33:13,2023-11-27 11:33:15,2.117s,PASSED
delay(45),Chrome 119.0.0.0,,,2023-11-27 11:33:15,2023-11-27 11:34:00,45.004s,PASSED
"Education = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 11:34:00,2023-11-27 11:34:00,0.075s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EDUCATION"", Education, EducationNew)",Chrome 119.0.0.0,,,2023-11-27 11:34:00,2023-11-27 11:34:00,0.002s,PASSED
"Hobbies = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Hobbies""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 11:34:00,2023-11-27 11:34:00,0.053s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""HOBBIES"", Hobbies, HobbiesNew)",Chrome 119.0.0.0,,,2023-11-27 11:34:00,2023-11-27 11:34:00,0.001s,PASSED
